gtin;ndFreeOfAlcohol;gln;regulatedProdName;functionalName;labelDescription;TradeItemDescr;ingredient_informatie
3,15947E+12;;38000000072;Ontbijtgranen van tarwezemelen. van nature uit rijk aan vezels (27%). verrijkt met vitaminen (B1. B2. niacine. B6. foliumzuur. B12) en ijzer.;Ontbijtgranen;Kellogg's All-Bran Plus 500 g;Kellogg's ALL BRAN FLAKES 500g;"Ingrediënten: TARWEZEMELEN (87%), suiker, GERSTEMOUTAROMA, zout, Vitaminen en mineralen: vitaminen (niacine, B6, B2, B1, foliumzuur, B12), ijzer.

Allergenen: zie ingrediëntenlijst, in vet gemarkeerd."
3,15947E+12;;38000000072;Assortiment van individuele verpakkingen van ontbijtgranen op basis van maïs. rijst en tarwe.;Ontbijtgranen;Kellogg's Variety Mini Packs 8 Stuks 215 g;Kellogg's Variety 220g;"Ingrediënten: Granen (maïs, rijst, TARWEMEEL), suiker, glucosesiroop, cacaopoeder, cacaopoeder met verlaagd vetgehalte, zout, GERSTEMOUTEXTRACT, honing, cacaomassa, maïsvezels, aroma's, natuurlijk aroma, kaneel, kleurstof (carotenen), magere MELKPOEDER, SOJA-eiwit isolaat, vitamine D, vitamine B1, vitamine B2, niacine, vitamine B6, foliumzuur, vitamine B12, ijzer

Bevat mogelijk: pindanoten, gluten van andere granen.

Voor allergenen: zie ingrediënten in vet gemarkeerd.
"
3,15947E+12;;38000000072;RIJST-. VOLKORENTARWE- EN GERSTVLOKKEN MET GEVRIESDROOGDE RODE VRUCHTEN. VERRIJKT MET VITAMINEN EN MINERALEN.;Ontbijtgranen;Kellogg's Special K Red Fruits 300g;Kellogg's SPECIAL K Red Fruit 300g;"Ingrediënten: Rijst (44%), VOLKORENTARWE (35%), suiker, GERST (4.5%), gevriesdroogd fruit (4.5%) (aardbei, kers), gemout GERSTEMEEL (3.5%), GERSTEMOUTAROMA, zout, Vitaminen en mineralen: vitaminen (niacine, B2, B1, B6, foliumzuur, D, B12), ijzer, zink.

Bevat mogelijk melk.

Voor allergenen: zie ingrediënten in vet gemarkeerd.
"
3,15947E+12;;38000000072;RIJST-. VOLKORENTARWE- EN GERSTVLOKKEN MET PURE CHOCOLADEKRULLEN. VERRIJKT MET VITAMINEN EN MINERALEN.;Ontbijtgranen;Kellogg's Special K Pure Chocolade 300 g;Kellogg's SPECIAL K Dark Chocolate 300g;"Ingrediënten: Rijst (39%), VOLKORENTARWE (31%), chocolade (14%) (suiker, cacaomassa, MELKVET, cacaoboter, emulgator {SOJALECITHINE}), suiker, GERST (4%), gemout GERSTEMEEL (3%), GERSTEMOUTAROMA, zout, Vitaminen en mineralen: Vitaminen (niacine, B2, B1, B6, foliumzuur, D, B12) ijzer, zink

Voor allergenen: zie ingrediënten in vet gemarkeerd.
"
4,00399E+12;;38000000072;VOLKORENGRANENRINGETJES MET HONING. VERRIJKT MET VITAMINEN EN IJZER.;Ontbijtgranen;Kellogg's Miel Pops Loops 375 g;Kellogg's HONEY LOOPS 375g;"Ingrediënten: Granenmeel (74%) (VOLKORENTARWE, VOLKORENHAVER, VOLKORENGERST, VOLKORENROGGE), suiker, honing (3%), glucosesiroop, zout, tricalciumfosfaat, kleurstof (carotenen), antioxidanten (ascorbylpalmitaat, alfatocoferol), Vitaminen en mineralen: vitaminen (niacine, B6, B2, B1, foliumzuur, B12, D), ijzer.

Voor allergenen: zie ingrediënten in vet gemarkeerd.
"
4,00399E+12;;38000000072;GEPOFTE EN GEKARAMELISEERDE TARWEKORRELS. VERRIJKT MET VITAMINEN EN IJZER.;Ontbijtgranen;Kellogg's Smacks 375 g;Kellogg's SMACKS 375g;"Ingrediënten: TARWE (55%), suiker, glucosesiroop, Vitaminen en mineralen: vitaminen (niacine, B6, B2, B1, foliumzuur, D, B12), ijzer.

Voor allergenen: zie ingrediënten in vet gemarkeerd.
"
4,00399E+12;;38000000072;KROKANTE ONTBIJTGRANEN VAN TARWE MET CHOCOLADE. VERRIJKT MET VITAMINEN EN IJZER.;Ontbijtgranen;Kellogg's Coco Pops Chocos 375 g;Kellogg's CHOCOS 375g;"Ingrediënten: TARWEMEEL (66%), suiker, chocoladepoeder (11%) (suiker, cacaopoeder), cacaopoeder met verlaagd vetgehalte, glucosesiroop, zout, kaneel, natuurlijk aroma, Vitaminen en mineralen: vitaminen (niacine, B6, B2, B1, foliumzuur, B12, D), ijzer.

Voor allergenen: zie ingrediënten in vet gemarkeerd.
"
5,00013E+12;;38000000072;VOLKORENTARWEVLOKKEN MET ZEMELEN. VERRIJKT MET VITAMINEN EN IJZER.;Ontbijtgranen;Kellogg's All-Bran Flakes 375 g;Kellogg's ALL BRAN FLAKES 375g;"Ingrediënten: VOLKORENTARWE (59%), TARWEZEMELEN (18%), VOLKORENBLOEM, suiker, glucosesiroop, GERSTEMOUTAROMA, zout, natuurlijk aroma, Vitaminen en mineralen: vitaminen (niacine, B6, B2, B1, foliumzuur, D, B12), ijzer.

Voor allergenen: zie ingrediënten in vet gemarkeerd.
"
5,00013E+12;;38000000072;VOLKORENTARWEVLOKKEN MET GEDROOGD FRUIT EN HAZELNOTEN. VERRIJKT MET VITAMINEN EN IJZER.;Ontbijtgranen;Kellogg's All-Bran Fruit'n Fibre 500 g;Kellogg's ALL BRAN FRUIT 'n' FIBRE 500g;"Ingrediënten: VOLKORENTARWE (70%), gedroogd fruit en HAZELNOTEN (26%) (rozijnen, kokosnoot, banaan {banaan, kokosnootolie, suiker}, appel, HAZELNOTEN), suiker, zout, GERSTEMOUTAROMA, Vitaminen en mineralen: vitaminen (niacine, B6, B2, B1, foliumzuur, D, B12), ijzer.

Bevat mogelijk andere noten.

Voor allergenen: zie ingrediënten in vet gemarkeerd.
"
5,05008E+12;;38000000072;Rijst-. volkorentarwe- en gerstvlokken met melkchocoladekrullen. verrijkt met vitaminen en mineralen.;Ontbijtgranen;Kellogg's Special K Melk Chocolade 300 g;Kellogg's SPECIAL K Milk Chocolate 300g;"Ingrediënten: Rijst (39%), VOLKORENTARWE (31%), MELKCHOCOLADE (14%) (suiker, cacaomassa, cacaoboter, volle MELKPOEDER, magere MELKPOEDER, emulgator {SOJALECITHINE}, natuurlijk vanille aroma), suiker, GERST (4%), gemout GERSTEMEEL (3%), GERSTEMOUTAROMA, zout, Vitaminen en mineralen: vitaminen (niacine, B2, B1, B6, foliumzuur, D, B12), ijzer, zink.

Voor allergenen: zie ingrediënten in vet gemarkeerd.
"
5,05383E+12;;38000000072;GRANENRINGETJES MET FRUITSMAAK.;Ontbijtgranen;Kellogg's Unicorn Froot Loops 375 g;Kellogg's Froot Loops 375g;"Ingrediënten: Granenmeel VOLKORENHAVER, TARWE, maïs), suiker, glucosesiroop, zout, natuurlijk citrusvruchtenaroma met andere natuurlijke aroma's, fruit- en groentenconcentraten(radijs, appel, zwarte bes, wortel, kers), kleurstof(carotenen)

Bevat mogelijk soja

Voor allergenen: zie ingrediënten in vet qemarkeerd. 
"
5,05383E+12;;38000000072;RIJST-. VOLKORENTARWE- EN GERSTVLOKKEN. VERRIJKT MET VITAMINEN EN MINERALEN.;Ontbijtgranen;Kellogg's Special K Original 375 g;Kellogg's SPECIAL K Original 375g;"Ingrediënten: Rijst(46%), VOLKORENTARWE(37%), suiker, GERST(5%), gemout GERSTEMEEL(3.5%), GERSTEMOUTAROMA, zout, Vitaminen en mineralen: Vitaminen(niacine, B2, B1, B6, foliumzuur, D, B12) ijzer, zink.

Bevat mogelijk Melk

Voor allergenen: zie ingrediënten in vet gemarkeerd.
"
5,05383E+12;;38000000072;GEPOFTE RIJSTKORRELS MET CHOCOLADESMAAK. VERRIJKT MET VITAMINEN EN IJZER.;Ontbijtgranen;Kellogg's Coco Pops 330 g;Kellogg's COCO POPS 330g;"Ingrediënten: Rijst, glucosesiroop, suiker, cacaopoeder met verlaagd vetgehalte, cacaomassa, zout, GERSTEMOUTEXTRACT, aroma's, Vitaminen en mineralen: vitaminen (niacine, B6, B2, B1, foliumzuur, D, B12), ijzer. 

Bevat mogelijk melk.

Voor allergenen: zie ingrediënten in vet gemarkeerd.
"
