gtin;gln;ndFreeOfAlcohol;regulatedProdName;functionalName;labelDescription;TradeItemDescr;ingredient_informatie
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK.;Hartige snack;;Pringles Original 40g;"Ingrediënten: Gedehydrateerde aardappelen, zonnebloemolie, TARWEMEEL, maïsmeel, rijstbloem, maltodextrine, emulgator (E471), zout, kleurstof (annatto norbixine)
"
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET ZURE ROOM- & UIENSMAAK.;Hartige snack;;Pringles Sour Cream & Onion 40g;"Ingrediënten: Gedehydrateerde aardappelen, zonnebloemolie, TARWEMEEL, maïsmeel, rijstbloem, zure room- & uienkruiderij (uienpoeder, TARWEZETMEEL, maltodextrine, smaakversterkers {mononatriumglutamaat, natriumguanylaat, dinatriuminosinaat}, dextrose, zonnebloemolie, zout, aroma's {MELK}, suiker, zureroompoeder {MELK}, gemodificeerd maïszetmeel, zoet weipoeder {MELK}, glucosestroop, voedingszuren {citroenzuur, melkzuur, appelzuur}, MELKEIWITTEN), maltodextrine, emulgator (E471), zout, kleurstof (annatto norbixine)
"
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET ZURE ROOM- & UIENSMAAK.;Hartige snack;;Pringles Sour Cream&Onion 70g;"Ingrediënten: Gedehydrateerde aardappelen, zonnebloemolie, TARWEMEEL, maïsmeel, rijstbloem, zure room- & uienkruiderij (uienpoeder, TARWEZETMEEL, maltodextrine, smaakversterkers {mononatriumglutamaat, natriumguanylaat, dinatriuminosinaat}, dextrose, zonnebloemolie, zout, aroma's {MELK}, suiker, zureroompoeder {MELK}, gemodificeerd maïszetmeel, zoet weipoeder {MELK}, glucosestroop, voedingszuren {citroenzuur, melkzuur, appelzuur}, MELKEIWITTEN), maltodextrine, emulgator (E471), zout, kleurstof (annatto norbixine)
"
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET KAAS- & UIENSMAAK.;Hartige snack;;Pringles CHEESE&ONION CHO 165g;"Ingrediënten: Gedehydrateerde aardappelen, zonnebloemolie, TARWEMEEL, maïsmeel, rijstbloem, kaas- & uienkruiderij (uienpoeder, dextrose, maltodextrine, glucosestroop, smaakversterkers {mononatriumglutamaat, natriumguanylaat, dinatriuminosinaat}, gemodificeerd maïszetmeel, zout, gistextract, aroma's, lactose {MELK}, gegranuleerde bouillon {zout, gehydrolyseerd plantaardig eiwit, zonnebloemolie}, kaaspoeder {MELK}, voedingszuren {melkzuur, citroenzuur}), maltodextrine, emulgator (E471), zout, kleurstof (annatto norbixine)
"
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET PITTIG GEKRUIDE SMAAK.;Hartige snack;;Pringles Hot & Spicy H&S 165g;"Ingrediënten: Gedehydrateerde aardappelen, zonnebloemolie, TARWEMEEL, maïsmeel, rijstbloem, pittige kruiderij (specerijen, suiker, tomatenpoeder, smaakversterkers {mononatriumglutamaat, natriumguanylaat, dinatiriuminosinaat}, TARWEZETMEEL, gegranuleerde bouillon {zout, gehydrolyseerd plantaardig eiwit, zonnebloemolie}, dextrose, zonnebloemolie, zoet weipoeder {MELK}, gemodificeerd maïszetmeel, gistextract, aroma's, cayennepepersauspoeder {gerijpte rode pepers, azijn, knoflook}, zout, voedingszuren {citroenzuur, melkzuur}, maltodextrine, kruiden, kleurstof {paprika-extract}, glucosestroop, MELKEIWITTEN), maltodextrine, emulgator (E471), zout, kleurstof (annatto norbixine)
"
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK;Hartige snack;Pringles Original 165 g;Pringles Original 165g;"Ingrediënten: Gedehydrateerde aardappelen, plantaardige oliën (zonnebloem, maïs), rijstbloem, TARWEZETMEEL, maïsmeel, emulgator (E471), maltodextrine, zout, gistextract, gistpoeder, kleurstof (annatto) 
"
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET ZOUT & AZIJNSMAAK.;Hartige snack;;Pringles Salt & Vinegar 165g;"Ingrediënten: Gedehydrateerde aardappelen, zonnebloemolie, TARWEMEEL, maïsmeel, rijstbloem, zout- en azijnkruiderij (aroma's {GERST}, aardappelzetmeel, lactose {MELK}, maltodextrine, smaakversterkers {mononatriumglutamaat, natriumguanylaat, dinatriuminosinaat}, zout, voedingszuren {citroenzuur, appelzuur}, zonnebloemolie), maltodextrine, emulgator (E471), zout, kleurstof (annatto norbixine)
"
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET ZURE ROOM- & UIENSMAAK.;Hartige snack;;Pringles Sour Cream & Onion 165g;"Ingrediënten: Gedehydrateerde aardappelen, zonnebloemolie, TARWEMEEL, maïsmeel, rijstbloem, zure room- & uienkruiderij (uienpoeder, TARWEZETMEEL, maltodextrine, smaakversterkers {mononatriumglutamaat, natriumguanylaat, dinatriuminosinaat}, dextrose, zonnebloemolie, zout, aroma's {MELK}, suiker, zureroompoeder {MELK}, gemodificeerd maïszetmeel, zoet weipoeder {MELK}, glucosestroop, voedingszuren {citroenzuur, melkzuur, appelzuur}, MELKEIWITTEN), maltodextrine, emulgator (E471), zout, kleurstof (annatto norbixine)
"
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET ZUREROOMSMAAK.;Hartige snack;;Pringles Kicking Sour Cream 160g;"Ingrediënten: Rijstbloem, zonnebloemolie, gedehydrateerde aardappelen, maïsmeel, maltodextrine, zureroomkruiderij (uienpoeder, smaakversterkers (mononatriumglutamaat, natriumguanylaat, dinatriuminosinaat), dextrose, zout, zureroompoeder {MELK}, zonnebloemolie, suiker, zoet weipoeder {MELK}, TARWEZETMEEL, gemodificeerd maïszetmeel, aroma's {MELK, chili-extract}, glucosestroop, voedingszuren {citroenzuur, melkzuur}, MELKEIWITTEN), emulgator (E471), gemodificeerd zetmeel, TARWEMEEL, zout
"
"5;05399E+12";38000000072;TRUE;HARTIGE SNACK MET PIKANTE BARBECUESMAAK.;Hartige snack;;Pringles Spicy BBQ 160g;"Ingrediënten: Rijstbloem, zonnebloemolie, gedehydrateerde aardappelen, maïsmeel, maltodextrine, kruiderij met smaak van pikante barbecue (suiker, smaakversterkers {mononatriumglutamaat, dinatrium-5'-ribonucleotiden}, uienpoeder, paprikapoeder, knoflookpoeder, specerijen {cayennepeper, zwarte peper, chilipeper, komijn}, weipermeaatpoeder {MELK}, zout, kleurstoffen {karamel, paprika-extract, annatto bixine}, aroma's, tomatenpoeder, voedingszuren {citroenzuur, appelzuur}, gistextract, rookaroma's, koolzaadolie, oregano, gerookte zonnebloemolie, zonnebloemolie), emulgator (E471), gemodificeerd zetmeel, TARWEMEEL, zout
"
